fueltype,aspiration,wheelbase,length,width,height,curbweight,enginesize,bore,stroke,compressionratio,horsepower,peakrpm,highwaympg,highwaylkm100,fueldummy,aspirationdummy,aspixfuel
gas,std,236.474,404.114,163.068,137.414,861.82,1.49,7.6962,8.001,9,68,5000,38,6.19,-1,-1,1
gas,std,236.474,404.114,163.068,137.414,864.09,1.49,7.6962,8.001,9,68,5000,38,6.19,-1,-1,1
gas,std,236.474,423.672,163.068,137.414,882.24,1.49,7.6962,8.001,9,68,5000,38,6.19,-1,-1,1
gas,std,236.474,423.672,163.068,137.414,884.5,1.49,7.8232,8.001,9,68,5000,38,6.19,-1,-1,1
gas,std,250.952,451.612,168.91,136.398,1081.82,2,8.6106,8.6106,8.6,84,4800,32,7.35,-1,-1,1
gas,std,250.952,451.612,168.91,140.97,1093.16,2,8.6106,8.6106,8.6,84,4800,32,7.35,-1,-1,1
gas,std,250.952,451.612,168.91,136.398,1081.82,2,8.6106,8.6106,8.6,84,4800,32,7.35,-1,-1,1
gas,std,250.952,451.612,168.91,140.97,1093.16,2,8.6106,8.6106,8.6,84,4800,32,7.35,-1,-1,1
diesel,std,250.952,451.612,168.91,140.97,1108.13,2,8.6106,8.6106,22.7,64,4650,42,5.6,1,-1,-1
gas,std,250.952,451.612,168.91,140.97,1099.96,2,8.6106,8.6106,8.6,84,4800,32,7.35,-1,-1,1
gas,std,266.446,444.5,167.894,138.176,1211.09,2.29,9.5504,8.0264,8,120,5000,27,8.71,-1,-1,1
diesel,std,266.446,444.5,167.894,138.176,1224.7,2.2,8.7122,9.2456,22,72,4200,39,6.03,1,-1,-1
diesel,turbo,279.4,484.886,178.562,143.51,1594.38,3,9.0932,9.2456,21.5,123,4350,25,9.41,1,1,1
diesel,turbo,279.4,484.886,178.562,149.098,1700.97,3,9.0932,9.2456,21.5,123,4350,25,9.41,1,1,1
diesel,turbo,271.018,476.25,178.562,139.446,1585.3,3,9.0932,9.2456,21.5,123,4350,25,9.41,1,1,1
diesel,turbo,293.624,514.604,182.118,143.002,1710.04,3,9.0932,9.2456,21.5,123,4350,25,9.41,1,1,1
gas,std,293.624,514.604,182.118,143.51,1696.43,3.83,8.7884,7.874,8.3,155,4750,18,13.07,-1,-1,1
gas,std,245.364,457.962,179.07,129.032,1671.49,3.83,8.7884,7.874,8.3,155,4750,18,13.07,-1,-1,1
gas,std,307.086,528.574,182.118,144.018,1769.01,5.05,9.652,8.509,8,184,4500,16,14.7,-1,-1,1
gas,std,284.48,505.968,182.88,140.716,1685.09,4.98,9.652,8.509,8,184,4500,16,14.7,-1,-1,1
gas,turbo,260.858,453.136,172.72,139.192,1319.95,2.29,9.6012,7.9248,8,175,5000,24,9.8,-1,1,-1
gas,std,237.998,399.542,163.576,129.032,869.99,1.51,7.5438,8.2042,9.4,68,5500,41,5.74,-1,-1,1
gas,std,237.998,399.542,163.576,129.032,881.78,1.51,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,237.998,399.542,163.576,129.032,909,1.51,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,turbo,236.22,399.542,162.052,129.032,972.95,1.61,7.6962,8.6106,7.6,102,5500,30,7.84,-1,1,-1
gas,turbo,244.602,439.42,166.116,125.476,1075.01,1.8,8.0518,8.7884,7.5,116,5500,30,7.84,-1,1,-1
gas,std,244.602,439.42,166.116,125.476,1055.96,2,8.509,8.7884,8.5,88,5000,32,7.35,-1,-1,1
gas,turbo,243.586,439.928,168.402,127.508,1285.03,2.56,9.0932,9.8044,7,145,5000,24,9.8,-1,1,-1
gas,turbo,243.586,439.928,168.402,127.508,1324.94,2.56,9.1186,9.8044,7,145,5000,24,9.8,-1,1,-1
gas,turbo,243.586,439.928,168.402,127.508,1327.21,2.56,9.1186,9.8044,7,145,5000,24,9.8,-1,1,-1
gas,std,244.602,437.896,166.116,131.064,1072.75,2,8.509,8.7884,8.5,88,5000,32,7.35,-1,-1,1
gas,std,244.602,437.896,166.116,131.064,1090.89,2,8.509,8.7884,8.5,88,5000,32,7.35,-1,-1,1
gas,turbo,244.602,437.896,166.116,131.064,1089.98,1.8,8.0518,8.7884,7.5,116,5500,30,7.84,-1,1,-1
gas,std,244.602,437.896,166.116,131.064,1089.98,1.8,8.0518,8.7884,7.5,116,5500,30,7.84,-1,-1,1
gas,std,240.03,419.862,162.052,138.43,856.84,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
diesel,std,240.03,419.862,162.052,138.43,914.9,1.69,7.5946,8.8138,21.9,55,4800,50,4.7,1,-1,-1
gas,std,240.03,419.862,162.052,138.43,869.99,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,419.862,162.052,138.43,879.06,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,432.308,162.052,135.89,918.07,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,419.862,162.052,138.43,884.96,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,420.624,162.052,135.382,919.88,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,419.862,162.052,138.43,894.03,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,240.03,432.308,162.052,135.89,923.97,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,241.554,412.496,162.052,135.382,910.81,1.59,8.001,8.3566,9.4,69,5200,37,6.36,-1,-1,1
gas,std,246.888,440.436,165.608,138.938,1054.15,1.97,8.4582,8.8138,8.5,97,5200,34,6.92,-1,-1,1
gas,std,246.888,440.436,165.608,138.938,1044.17,1.97,8.4582,8.8138,8.5,97,5200,34,6.92,-1,-1,1
gas,std,255.016,461.518,168.91,139.954,1403.87,2.97,8.7122,8.3058,9,152,5200,22,10.69,-1,-1,1
gas,std,255.016,468.884,168.91,142.494,1495.04,2.97,8.7122,8.3058,9,152,5200,22,10.69,-1,-1,1
gas,std,255.016,468.884,168.91,139.954,1387.99,2.97,8.7122,8.3058,9,152,5200,25,9.41,-1,-1,1
gas,std,231.902,433.578,172.466,126.238,1392.98,2.97,8.7122,8.3058,9,160,5200,25,9.41,-1,-1,1
gas,turbo,231.902,433.578,172.466,126.238,1423.83,2.97,8.7122,8.3058,7.8,200,5200,23,10.23,-1,1,-1
gas,std,251.968,453.39,172.466,126.238,1423.83,2.97,8.7122,8.3058,9,160,5200,25,9.41,-1,-1,1
gas,std,274.066,474.218,173.736,144.018,1369.85,1.97,8.7884,8.1026,8.4,97,5000,24,9.8,-1,-1,1
diesel,turbo,274.066,474.218,173.736,144.018,1450.13,2.49,9.398,8.9408,21,95,4150,33,7.13,1,1,1
gas,std,290.068,505.206,173.736,149.098,1465.1,1.97,8.7884,8.1026,8.4,97,5000,24,9.8,-1,-1,1
diesel,turbo,290.068,505.206,173.736,149.098,1555.82,2.49,9.398,8.9408,21,95,4150,25,9.41,1,1,1
gas,std,274.066,474.218,173.736,144.018,1394.8,1.97,8.7884,5.5626,8.4,95,5000,24,9.8,-1,-1,1
diesel,turbo,274.066,474.218,173.736,144.018,1475.08,2.49,9.398,8.9408,21,95,4150,33,7.13,1,1,1
gas,std,290.068,505.206,173.736,144.018,1490.05,1.97,8.7884,5.5626,8.4,95,5000,24,9.8,-1,-1,1
diesel,turbo,290.068,505.206,173.736,149.098,1580.77,2.49,9.398,8.9408,21,95,4150,25,9.41,1,1,1
gas,std,274.066,474.218,173.736,144.018,1394.8,1.97,8.7884,8.1026,8.4,97,5000,24,9.8,-1,-1,1
diesel,turbo,274.066,474.218,173.736,144.018,1475.08,2.49,9.398,8.9408,21,95,4150,33,7.13,1,1,1
gas,turbo,274.32,474.218,173.482,142.24,1419.74,2.2,9.1694,8.1534,7,142,5600,24,9.8,-1,1,-1
gas,std,237.998,399.542,162.052,129.032,869.99,1.47,7.5438,8.2042,9.4,68,5500,41,5.74,-1,-1,1
gas,turbo,237.998,399.542,162.052,129.032,965.24,1.61,7.6962,8.6106,7.6,102,5500,30,7.84,-1,1,-1
gas,std,237.998,399.542,162.052,128.524,892.22,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,237.998,424.942,162.052,129.032,902.19,1.47,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,237.998,424.942,162.052,129.032,993.82,1.61,7.5438,8.2042,9.4,68,5500,38,6.19,-1,-1,1
gas,std,262.382,443.484,164.084,151.892,1149.86,2,8.509,8.7884,8.5,88,5000,30,7.84,-1,-1,1
gas,turbo,243.586,439.928,168.402,127.508,1278.22,2.56,9.1186,9.8044,7,145,5000,24,9.8,-1,1,-1
gas,std,240.03,429.006,173.482,127.508,1260.08,2.47,10.0076,7.8994,9.5,143,5500,27,8.71,-1,-1,1
gas,std,227.33,429.006,165.1,131.064,1250.1,3.18,9.4996,7.366,9.5,207,5900,25,9.41,-1,-1,1
gas,std,227.33,429.006,165.1,131.064,1250.1,3.18,9.4996,7.366,9.5,207,5900,25,9.41,-1,-1,1
gas,std,227.33,429.006,165.1,131.064,1270.06,3.18,9.4996,7.366,9.5,207,5900,25,9.41,-1,-1,1
gas,std,249.936,446.278,183.642,128.27,1526.79,3.33,10.0076,7.8994,10,288,5750,28,8.4,-1,-1,1
gas,std,251.714,473.964,168.91,142.494,1205.65,1.98,8.9916,7.7978,9.31,110,5250,28,8.4,-1,-1,1
gas,std,251.714,473.964,168.91,142.494,1222.43,1.98,8.9916,7.7978,9.3,110,5250,28,8.4,-1,-1,1
gas,std,251.714,473.964,168.91,142.494,1227.87,1.98,6.4516,5.2578,9.3,110,5250,28,8.4,-1,-1,1
gas,std,251.714,473.964,168.91,142.494,1251.01,1.98,8.9916,7.7978,9.3,110,5250,28,8.4,-1,-1,1
gas,turbo,251.714,473.964,168.91,142.494,1273.69,1.98,8.9916,7.7978,9,160,5500,26,9.05,-1,1,-1
gas,turbo,251.714,473.964,168.91,142.494,1291.38,1.98,8.9916,7.7978,9,160,5500,26,9.05,-1,1,-1
gas,std,237.998,398.526,161.036,136.398,929.86,1.59,9.1948,5.9944,9,69,4900,36,6.53,-1,-1,1
gas,std,237.998,401.066,161.544,136.398,961.62,1.77,9.1948,6.7056,8.7,73,4400,31,7.59,-1,-1,1
gas,std,236.982,399.542,162.052,141.478,1016.05,1.77,9.1948,6.7056,8.7,73,4400,31,7.59,-1,-1,1
gas,std,246.888,436.88,166.116,133.35,972.95,1.77,9.1948,6.7056,9.5,82,4800,37,6.36,-1,-1,1
gas,std,246.888,436.88,166.116,133.35,993.37,1.77,9.1948,6.7056,9.5,82,4400,33,7.13,-1,-1,1
gas,std,246.888,436.88,166.116,133.35,1061.41,1.77,9.1948,6.7056,9,94,5200,32,7.35,-1,-1,1
gas,std,246.38,436.88,166.116,137.922,1081.82,1.77,9.1948,6.7056,9,82,4800,25,9.41,-1,-1,1
gas,turbo,246.38,436.88,166.116,137.922,1138.52,1.77,9.1948,6.7056,7.7,111,4800,29,8.11,-1,1,-1
gas,std,246.38,440.69,166.116,134.62,1038.73,1.77,9.1948,6.7056,9,82,4800,32,7.35,-1,-1,1
gas,std,246.38,440.69,166.116,134.62,1113.57,1.77,9.1948,6.7056,9,94,5200,31,7.59,-1,-1,1
gas,std,246.126,440.944,166.116,139.446,1097.69,1.77,9.1948,6.7056,9,82,4800,29,8.11,-1,-1,1
gas,turbo,246.126,440.944,166.116,139.446,1202.02,1.77,9.1948,6.7056,7.7,111,4800,23,10.23,-1,1,-1
gas,std,243.078,403.098,161.544,138.43,900.38,1.51,7.747,7.6962,9,62,4800,39,6.03,-1,-1,1
gas,std,243.078,403.098,161.544,138.43,925.33,1.51,7.747,7.6962,9,62,4800,38,6.19,-1,-1,1
gas,std,243.078,403.098,161.544,138.43,913.99,1.51,7.747,7.6962,9,62,4800,38,6.19,-1,-1,1
gas,std,243.078,431.038,161.544,150.114,1034.19,1.51,7.747,7.6962,9,62,4800,37,6.36,-1,-1,1
gas,std,243.078,431.038,161.544,150.114,1038.73,1.51,7.747,7.6962,9,62,4800,32,7.35,-1,-1,1
gas,std,243.078,431.038,161.544,150.114,1410.67,1.51,7.747,7.6962,9,62,4800,32,7.35,-1,-1,1
gas,std,243.078,422.402,163.576,134.62,943.92,1.61,8.1026,7.6962,9,70,4800,37,6.36,-1,-1,1
gas,std,243.078,422.402,163.576,134.112,956.63,1.61,8.1026,7.6962,9,70,4800,37,6.36,-1,-1,1
diesel,std,243.078,422.402,163.576,134.62,1031.92,1.8,8.3058,8.509,22.5,56,4500,36,6.53,1,-1,-1
diesel,std,243.078,422.402,163.576,134.112,1031.92,1.8,8.3058,8.509,22.5,56,4500,47,5,1,-1,-1
gas,std,243.078,422.402,163.576,134.62,949.82,1.61,8.1026,7.6962,9,70,4800,47,5,-1,-1,1
gas,std,243.078,422.402,163.576,134.112,962.52,1.61,8.1026,7.6962,9,70,4800,34,6.92,-1,-1,1
gas,std,243.078,422.402,163.576,134.112,970.69,1.61,8.1026,7.6962,9,70,4800,34,6.92,-1,-1,1
gas,std,240.03,428.498,162.56,133.604,983.84,1.61,8.1026,7.6962,9,70,4800,34,6.92,-1,-1,1
gas,std,240.03,428.498,162.56,133.604,999.72,1.61,8.1026,7.6962,9,70,4800,34,6.92,-1,-1,1
gas,std,240.03,428.498,162.56,133.604,1027.39,1.61,8.2296,7.8232,9.4,112,6600,29,8.11,-1,-1,1
gas,std,240.03,428.498,162.56,133.604,1043.26,1.61,8.2296,7.8232,9.4,112,6600,29,8.11,-1,-1,1
gas,std,249.936,447.548,166.624,132.08,1152.12,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,249.936,447.548,166.624,132.08,1150.31,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,249.936,447.548,166.624,132.08,1157.11,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,249.936,447.548,166.624,132.08,1215.17,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,249.936,447.548,166.624,132.08,1231.05,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,249.936,447.548,166.624,134.62,1349.44,2.39,9.1948,8.89,9.3,116,4800,30,7.84,-1,-1,1
gas,std,260.096,446.024,168.91,139.446,1055.05,2,8.4074,8.9916,8.7,92,4200,34,6.92,-1,-1,1
diesel,turbo,260.096,446.024,168.91,139.446,1124.91,1.8,8.3058,8.509,22.5,73,4500,33,7.13,1,1,1
gas,std,260.096,446.024,168.91,136.906,1094.97,2,8.4074,8.9916,8.7,92,4200,32,7.35,-1,-1,1
gas,std,260.096,446.024,168.91,139.446,1094.97,2,8.4074,8.9916,8.7,92,4200,32,7.35,-1,-1,1
gas,std,260.096,446.024,168.91,136.906,1114.93,2,8.4074,8.9916,8.7,92,4200,32,7.35,-1,-1,1
gas,std,261.366,466.09,171.958,132.08,1349.89,2.8,8.3058,8.509,9.3,161,5200,24,9.8,-1,-1,1
gas,std,261.366,466.09,171.958,132.08,1368.03,2.8,8.3058,8.509,9.3,161,5200,24,9.8,-1,-1,1
gas,std,265.43,477.012,168.91,137.414,1420.2,2.8,8.3058,8.509,9.2,156,5200,24,9.8,-1,-1,1
gas,std,265.43,477.012,168.91,137.414,1429.27,2.64,8.3058,8.509,9.2,156,5200,24,9.8,-1,-1,1
diesel,std,247.142,436.118,166.37,141.478,1025.57,1.59,7.6454,8.636,23,52,4800,46,5.11,1,-1,-1
gas,std,247.142,436.118,166.37,141.478,1001.98,1.79,8.1026,8.636,9,85,5250,34,6.92,-1,-1,1
diesel,std,247.142,436.118,166.37,141.478,1026.93,1.59,7.6454,8.636,23,52,4800,46,5.11,1,-1,-1
gas,std,247.142,436.118,166.37,141.478,1003.35,1.79,8.1026,8.636,9,85,5250,34,6.92,-1,-1,1
gas,std,247.142,436.118,166.37,141.478,1031.92,1.79,8.1026,8.636,9,85,5250,34,6.92,-1,-1,1
diesel,turbo,247.142,436.118,166.37,141.478,1051.88,1.59,7.6454,8.636,23,68,4500,42,5.6,1,1,1
gas,std,247.142,436.118,166.37,141.478,1043.26,1.79,8.1026,8.636,10,100,5500,32,7.35,-1,-1,1
gas,std,240.03,404.622,163.068,141.224,1022.4,1.79,8.1026,8.636,8.5,90,5500,29,8.11,-1,-1,1
gas,std,240.03,420.878,162.56,130.556,1007.43,1.79,8.1026,8.636,8.5,90,5500,29,8.11,-1,-1,1
gas,std,255.016,457.708,169.926,139.954,1207.01,2.23,8.1026,8.636,8.5,110,5500,24,9.8,-1,-1,1
diesel,turbo,255.016,457.708,169.926,139.954,1169.81,1.59,7.6454,8.636,23,68,4500,38,6.19,1,1,1
gas,std,255.016,465.074,169.926,139.954,1162.56,1.79,8.1026,8.636,9,88,5500,31,7.59,-1,-1,1
gas,std,264.922,479.552,170.688,142.748,1320.86,2.31,9.6012,8.001,9.5,114,5400,28,8.4,-1,-1,1
gas,std,264.922,479.552,170.688,146.05,1376.2,2.31,9.6012,8.001,9.5,114,5400,28,8.4,-1,-1,1
gas,std,264.922,479.552,170.688,142.748,1331.29,2.31,9.6012,8.001,9.5,114,5400,28,8.4,-1,-1,1
gas,std,264.922,479.552,170.688,146.05,1379.83,2.31,9.6012,8.001,9.5,114,5400,28,8.4,-1,-1,1
gas,turbo,264.922,479.552,170.688,142.748,1381.19,2.13,9.1948,8.001,7.5,162,5100,22,10.69,-1,1,-1
gas,turbo,264.922,479.552,170.688,146.05,1431.99,2.13,9.1948,8.001,7.5,162,5100,22,10.69,-1,1,-1
gas,std,277.114,479.552,175.006,140.97,1339,2.31,9.6012,8.001,9.5,114,5400,28,8.4,-1,-1,1
gas,turbo,277.114,479.552,174.752,140.97,1383,2.31,9.6012,8.001,8.7,160,5300,25,9.41,-1,1,-1
gas,std,277.114,479.552,175.006,140.97,1366.22,2.83,9.0932,7.2898,8.8,134,5500,23,10.23,-1,-1,1
diesel,turbo,277.114,479.552,175.006,140.97,1459.21,2.38,7.6454,8.636,23,106,4800,27,8.71,1,1,1
gas,turbo,277.114,479.552,175.006,140.97,1388.9,2.31,9.6012,8.001,9.5,114,5400,25,9.41,-1,1,-1
